idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
268,label,welfare reform,welfare costs,budget deficits,president clinton,healthcare reforms,national welfare systems,,,,,,,,,,,,,,
269,multipartiterank,shining path guerrillas,charges,district attorney,dozens,office,peasants,police,ayacucho,andean city,jungle raids,miles,soldiers,tuesday,rodrigo franco command,path member,path,death squad,members,officials,years
269,label,rodrigo franco command,osman morote,property damage,shining path guerrillas,death squad,district attorney carlos escobar,rebel raids,police post,,,,,,,,,,,,
270,multipartiterank,forest fires,cooke city,patti smith,winter,yellowstone national park,new wildfire season,fire,seasonal residents,silver gate,residents,new year ushers,towns,newspapers,lot,smiths,cabins,small motel,snow,tourists,months last summer
270,label,new wildfire season,yellowstone national park,forest fires,firefighting efforts,u.s. forest service,unprecedented fire season,yellowstone ecosystem,,,,,,,,,,,,,
271,multipartiterank,crew members,b-52 training missions,castle air force base,plane,fair condition,b-52 bomber,aircraft,crash,sawyer spokesman,anita bailey,pilot,1st lt,mark hartney,b-1b bomber,capt,spokesman,crew,runway,peck,base hospitals
271,label,crash,b-52 bomber,training flight,crew members,k.i. sawyer air force base,pilot,,,,,,,,,,,,,,
272,multipartiterank,tunnel,british workers,french side,britain,drilling,europe,english channel,probe,first land link,london,miles,speed trains,france,engineering,historic linkup,inches,workers,construction consortium,french colleagues,eurotunnel plc
272,label,english channel,first land link,britain,france,chunnel,historic linkup,channel tunnel,tunnel construction,cost overruns,tunnel trains,continental ills,transmanche link,growing unification,,,,,,,
273,multipartiterank,police,operation rescue,los angeles police department,police brutality,demonstrators intent,abortion facilities,protestant circles,compliance,civil rights groups,little attention,demonstrators,motorist rodney king,los angeles,aclu,persistent complaints,single case,national movement,arts weapon,right,excessive force
273,label,police brutality,excessive force,serious injury,police abuse,anti-abortion,demonstrations,civil rights demonstrators,,,,,,,,,,,,,
274,multipartiterank,officers,commission,report,community leaders,chief,police,excessive force,department,minority citizens,chief gates,los angeles police academy,recommendations,complaints,community,city,monkey slapping time,lapd officers,citizens,part,year terms
274,label,police brutality,rodney king incident,excessive force,brutality complaints,racial bias,lapd officers,los angeles,,,,,,,,,,,,,
275,multipartiterank,gandhi,india,congress party spokesman,new delhi,time bomb,chief election commissioner,congress party,assassination scene,tamil separatists,caste conflicts,indian politics,prime minister,independent state,bomb,assassination,janata dal party,blast,religious,death,elections
275,label,gandhi,india,national parliamentary elections,assassination scene,blast,time bomb,political dynasty,indian politics,new delhi,congress party,,,,,,,,,,
276,multipartiterank,illegal immigrant,census bureau,house,census,congressional seats,california,persons,constitution,congress,people,legal status,recent house debate,amendment,several hispanic organizations,federation,question,citizens,new york,word,texas
276,label,illegal aliens,1990 census,census bureau,congressional reapportionment,congressional seats,illegal immigrants,congressional campaign,,,,,,,,,,,,,
277,multipartiterank,world bank,bank,countries,development,mr lewis preston,private sector,third world,investment,world development report,ebrd,us treasury,loans,1980s,market,washington,mr preston,middle east,governments,project lending,international economics
277,label,third world,lewis preston,poverty alleviation,world bank,washington,president,loan conditions,,,,,,,,,,,,,
278,multipartiterank,florida,storm,people,louisiana yesterday,dollars 20bn,hurricane andrew,federal emergency officials,state,local officials,hurricane,residents,alligators,massive rebuilding effort,louisiana,need,distribution problems,president george bush last night,transportation secretary andrew card yesterday,whole districts,new orleans
278,label,hurricane andrew,florida,louisiana,storm-related injuries,widespread destruction,massive rebuilding effort,federal emergency,,,,,,,,,,,,,
279,multipartiterank,f-14 jet fighter,f-14 crash monday,navy aviators,vessels today,navy aircraft,crewman,jet,miles,atlantic ocean,el cajon,north carolina,hangar,crewmate,people,crash,mike john,officials,san diego suburb,coast guard,dead
279,label,f-14 crash,navy aircraft,f-14 jet fighter,atlantic ocean,pilot,injuries,navy aviators,atlantic accident,,,,,,,,,,,,
280,multipartiterank,largest city,new mayor,black activists,younger daley,police brutality,city,daley,report,old wounds,hearings,fears,minorities,racism,nation,racial issue,days,chicago,white leadership,years,widespread segregation
280,label,police brutality,racism,race relations,chicago,racial issue,blacks,new mayor,,,,,,,,,,,,,
281,multipartiterank,botswana,cso,diamonds,de beers,market,rough,idc,cent,negotiations,south african group,country,exclusive sales contract,important diamond producer,year contract,diamond profits,production,world,worth,botswana stones,new contract
281,label,individual diamond producer,botswana politicians,de beers,south african group,exclusive sales contract,central selling organisation,rough diamond sales,diamond trade,botswana diamonds,rough diamond output,contract negotiations,,,,,,,,,
282,multipartiterank,chile,largest earthquake,earthquake,scientists,buildings,earth,san francisco earthquake,engineer elias arze,engineers,host,president,magnitude,chilean seismology,distinction,year term,california,massive plates,arze,miles,seismic country
282,label,chilean earthquakes,chile,seismic country,chilean seismology,san francisco earthquake,considerable damage,massive plates,major earthquake,earth movements,chilean buildings,,,,,,,,,,
283,multipartiterank,germany,bse,ban,european commission,british beef exports,mad cow disease,legal action,uk beef sector,bonn,commission,live cattle,health ministers,humans,scientific evidence,fear,bovine spongiform encephalopathy,yesterday,brussels today,british officials,creutzfeld
283,label,mad cow disease,british beef exports,bovine spongiform encephalopathy,unilateral ban,british exports,restrictions,bse-affected cows,germany,,,,,,,,,,,,
284,multipartiterank,slovenia,army,republic,croatia,yugoslavia,independence grab,slovenes,government helicopters,militias,sides,country,border,federal army,slovenia customs house,several yugoslavs,ljubljana,independence,mountains,minority serbs,federal soldiers
284,label,yugoslavia,slovene soldiers,federal government,slovene militiamen,federal soldiers,independence grab,croatian independence,breakaway republics,independence declarations,strong central control,civil war,,,,,,,,,
285,multipartiterank,diabetes test,hispanics,americans,diabetes,mexican,disease,year,researchers,type ii diabetes,joanne pierluissi,percent,insulin,diets,stern,diabetes studies,tube,diabetic patients,family,foods common,low
285,label,hispanic diabetes,diabetes studies,diabetes test,minorities,american diabetes association,obese diabetics,diabetic patients,hispanics,type II diabetes,insulin,anti-diabetic drug,,,,,,,,,
286,multipartiterank,crash,kadena air base,dfaa,okinawa,briefing,command,april,cause,crashed aircraft,f-15 fighter,safe management,thorough investigation,regret,air base,japan,akira takeshita,routine training,deputy director general,text,defense facilities administration agency
286,label,crash,f-15 fighter,u.s. forces,okinawa,investigation,routine training,u.s. military bases,,,,,,,,,,,,,
287,multipartiterank,farmers,disaster aid program,drought,need,north dakota,harder,part series,third story,,,,,,,,,,,,
287,label,drought,upper midwest,north dakota,disaster relief aid,four-part series,disaster aid program,farmers,,,,,,,,,,,,,
288,multipartiterank,mad cow disease,kudu,disease similar,scientists,disease,zoo antelope,cows,london zoo,english article type,small herd,feed,animals,infective agent,similar transmission,antelope,infection,evidence,case,cso,zoo
288,label,mad cow disease,london zoo,kudu herd,affected animals,similar transmission,endangered species,,,,,,,,,,,,,,
289,multipartiterank,third world debtors,world bank,debts,countries,bank,cash,economies,figure,new loans,sunday,united states,annual report,major drain,total,reason,africa,east asia,heavy new investment,situation,public
289,label,third world debtors,new loans,third world countries,global debt burden,creditors,cash-strapped economies,cash drain,,,,,,,,,,,,,
290,multipartiterank,eclipse,sun,shadows,prime time,special glasses,hawaii,moon moves,astronomers,glasses,san jose,overcast skies,bay area,dark,morning fog,times,baja,nature,eye damage,earth,mylar
290,label,eclipse,san jose,shadow,sun,eye damage,mylar glasses,sunglasses,eyeshades,,,,,,,,,,,,
291,multipartiterank,tornadoes,severe thunderstorms,state,hundreds homeless,wednesday,people,state look,,,,,,,,,,,,,
291,label,tornadoes,severe thunderstorms,death,destruction,damage,,,,,,,,,,,,,,,
292,multipartiterank,hurricanes,tropical storm season,sahel,higher rate,weather researchers,hurricane activity,storms,normal,year,caribbean,warm ocean air,wet weather,july,average,moisture,summer,winds,national hurricane center,year rainfall levels,dry
292,label,tropical storm season,hurricane patterns,coastal residents,global hurricane activity,global hurricane activity,mr. gray,national hurricane center,west african sahel region,atlantic hurricanes,rainfall levels,weather researchers,,,,,,,,,
293,multipartiterank,oil,tanker exxon valdez,largest oil spill,ship,valdez,early friday,ice,prince william sound,exxon valdez,miles,bligh reef,officials,spill,efforts,fishing industry workers,richard golob,united states,terminal,normal traffic lane,chunks
293,label,u.s. tanker spill,oil spills,987-foot tanker exxon valdez,bligh reef,oil slick,environmental conservation,crude oil,environmental disasters,,,,,,,,,,,,
294,multipartiterank,pain,nonviolent demonstrators,police brutality,officers,protesters,demonstrators,police,police use,operation rescue,los angeles police officers,force,compliance,techniques,civil rights demonstrations,arm,fred nichols,use,time,years,order conservatives
294,label,los angeles police officers,nonviolent protesters,anti-abortion cause,police brutality charges,police abuse,,,,,,,,,,,,,,,
295,multipartiterank,top west german military official,people,accident,saturday,remscheid,fiery crash,west germany,popular support,low,level flight training missions,defense issues,statement saturday,construction worker,dieter wellershoff,house,thursday,aircraft,public support,military,pilot
295,label,fiery crash,fatal crash,u.s. air force a-10 thunderbolt,pilot,military aircraft,deadly accidents,low-level training flights,west german,remscheid,,,,,,,,,,,
296,multipartiterank,losses,dollars,hurricane andrew,british insurer,general accident,florida,external catastrophe reinsurance covers,total,company,mr nelson robertson,certain claims threshold,insurance,area,yesterday,louisiana,information,level,us operations,extraordinary shareholders,meeting
296,label,hurricane andrew,insurance claims,losses,insurer,,,,,,,,,,,,,,,,
297,multipartiterank,thomas,bush supreme court nominee,right,senate judiciary committee,box,confirmation,nomination,views,metzenbaum,supreme court,reagan,woman,abortion,specific case,confirmation hearings,free speech issues,bush,settled law,nominee,education fund
297,label,clarence thomas,supreme court nomination,circuit court,columbia,black justice,conservative majority,senate judiciary committee,confirmation hearings,,,,,,,,,,,,
298,multipartiterank,crude oil,exxon valdez,largest alaskan oil spill,exxon oil tanker,oil,sea birds,alaska,valdez,prince william sound,cleanup,coast guard officers,spill,environmentalists,tanker,telephone interview,tourists,gallons,time,boom,wildlife service
298,label,alaskan oil spill,long beach-bound exxon oil tanker,crude oil,exxon valdez,wildlife hurt,cleanup equipment,,,,,,,,,,,,,,
299,multipartiterank,black people,scott,slave,missouri supreme court,chief justice taney,right,free territory,racist pronouncements,guns,state courts,natural law,free,missouri,new york,arms,freedom,specific constitutional protections,freeman,white man,race relations
299,label,gun control,second amendment,racial paranoia,dred scott,infamous rulings,black people,,,,,,,,,,,,,,
300,multipartiterank,eclipse,hawaii,low cloud cover,sun,mexico,clouds,parks,many,dark,discovery museum,mountain view,funny mylar glasses,welder,cardboard,foothill observatory,south san jose,big pinhole cameras,mauna loa,moon obscure,years
300,label,eclipse,moon obscure,hawaii,mexico,sun,eclipsefests,,,,,,,,,,,,,,
301,multipartiterank,old morgan,searle,drug courier,fellow narcotics officer,los angeles international airport,morgan,officer,black,passengers,narcotics,muscular black man,federal court,profile,joe morgan,city,likely companion,46-year,police use,commercial airline flights,last year
301,label,clayton searle,joe morgan,public affairs,racism,police officer,drugs,los angeles,,,,,,,,,,,,,
302,multipartiterank,mad cow disease,spongiform encephalopathies,cattle,sheep,scrapie,condition,disease,government,years,mr david maclean,mr ron davies,number,reporting,question,greater kudu,cases,antelope population,period,past,goats
302,label,mad cow disease,spongiform encephalopathies,antelope population,sheep encephalopathies,scrapie,,,,,,,,,,,,,,,
303,multipartiterank,candidate carlos pizarro,colombia,third presidential candidate,assassination,pizarro,government,country,president virgilio barco,medellin,drug traffickers,liberal party,armed forces,month,barco,political chaos,jetliner thursday,alvaro gomez,airport,elections,shooting
303,label,candidate carlos pizarro,gunman,suicide mission,assassinations,drug traffickers,terrorist campaign,drug barons,presidential elections,colombia,political chaos,,,,,,,,,,
304,multipartiterank,major hurricane,hurricane,force winds,atlantic storm season,mph,atlantic,tuesday,worse,year,western tip,hurricane season,new glass,goes,satellites,sheets,gulf coasts,certain conditions,head,opening,forecasters
304,label,hurricanes,u.s. death toll,national hurricane center,atlantic storm season,typical atlantic hurricane season,hurricane coastal flood models,coastal counties,hurricane-force winds,first tropical depression,forecasters,goes-west,,,,,,,,,
305,multipartiterank,second hurricane,hurricane dean,puerto rico,tropical storm,water wednesday,dean,national weather center,barbuda,miles,atlantic season wednesday,mph,forecasters,hurricane,food,everything loose,residents,tape windows,storm,san juan,leeward islands
305,label,hurricane dean,second hurricane,atlantic season,hurricane warnings,forecasters,emergency supplies,hurricane-force winds,hurricane watch,eastern caribbean,hurricane advisory,u.s. virgin islands,puerto rico,,,,,,,,
306,multipartiterank,cfm56 engines,investigators,authorities,undamaged right engine,jet,flight recorders,plane,airplanes,pilot,engines,crash,inspections,boeing,flight crew,government,valve,hunt,wrong engine,fire,crew
306,label,boeing 737s,undamaged right engine,crash,one-engine emergency landing,injured pilot,engine monitoring systems,wrong engine,left engine,,,,,,,,,,,,
307,multipartiterank,bse,new cases,second dairy farmer,disease,cjd,year,last month,mad cow,prion,epidemic,human brain disease,cases,public concern,deaths,government policy,patient,animals,herds,farmers,dairy farmers
307,label,mad cow disease,bse,bovine spongiform encephalopathy,public concern,human brain disease,maternal transmission,scrapie-contaminated feed,epidemic,,,,,,,,,,,,
0,tfidf,drought,lyng,usda,june,haying,crp,announces,grazing,haying grazing,drought policy committee,drought policy,task force,policy committee,june 27,hay,conservation,task,meets,june 23,livestock
0,label,agriculture department,drought-related actions,action list,drought aid,meat purchases,usda drought task force,drought panel,conservation reserve program,congressional drought relief task force,emergency relief measures,,,,,,,,,,
1,tfidf,al,jordanian,abu,nidal group,abu nidal group,nidal,abu nidal,frc,ayitah,al ayitah,fundamentalist,assassination,imyo,jordan,beirut,jordanian fundamentalist,lebanon,lebanese,iran,ayitah assassination
1,label,ayitah assassination,jordanian authorities,lebanese security authorities,abu-nidal group,jordanian fundamentalist extremist groups,jordanian diplomat na'ib al- ma'ayitah,investigative report,imyo,international terrorism,,,,,,,,,,,
2,tfidf,beef,bse,british beef,humans,german,imported,disease,contaminated,research,british,cattle,eu,affect humans,non existent,existent,beef imports,tonnes,bse transmitted,examine,ministers
2,label,cattle disease,bovine spongiform encephalopathy,bse,mad cow disease,british beef imports,possible connections,,,,,,,,,,,,,,
3,tfidf,illegal aliens,census,aliens,illegal,amendment,shelby,apportionment,count,seats,counted,house seats,redistricting,immigration,immigration bill,persons,reapportionment,sen,house,constitution,states
3,label,illegal aliens,1990 census,house seats,illegal residents,national head count,census bureau,congressional reapportionment,,,,,,,,,,,,,
4,tfidf,thomas,famble,pray,crowd,god,clarence,hill,sign,bad,would say anita,worked roof sign,worked roof,williams prayed silently,williams prayed,whoever put pray,whoever put,whoever,watch son rubbed,watch son,walk valley shadow
4,label,clarence thomas,hometown crowd,birthplace,senate vote,georgia,williams,,,,,,,,,,,,,,
5,tfidf,gun,second amendment,amendment,serve,rights,license,right,second,constitution,requiring,guns,requiring gun owners,requiring gun,letter writer,scrupulous,religiously scrupulous,religiously,authors second amendment,authors second,right serve
5,label,gun control,second amendment,gun ownership,national guard,gun-control legislation,american citizens,undeniable right,,,,,,,,,,,,,
6,tfidf,french,lebanon,terrorist,uta,france,hoffman,chad,attack,plane,explosion,syrian,shiite,obeid,muslim,intelligence,dc,bomb,airport,wednesday,washington
6,label,french dc-10 jetliner,powerful high-altitude explosion,terrorist bomb,niger,lebanon crisis,rescue mission,terrorist attack,crash site,,,,,,,,,,,,
7,tfidf,slovenia,yugoslavia,slovene,independence,slovenes,europe,veselinovic,skoberne,exchange,country,western europe,austria,foreign,trade rest yugoslavia,trade rest,rest yugoslavia,nationalism,mr veselinovic,mr skoberne,hungarian
7,label,slovenia bonds,yugoslavia,independence declarations,european community,industrial output,post-independence plans,national identity,slovene risk,,,,,,,,,,,,
8,tfidf,plane,crash,dc,dc 10,runway,sioux,hydraulic,united,engine,tail,sioux city,landing,said,survivors,passengers,10,cornfield,airport,iowa,walked
8,label,united airlines dc-10,emergency landing,violent crash,complete hydraulic failure,explosion,crash landing,flight crew,crash victims,air crash,tail engine,,,,,,,,,,
9,tfidf,hispanic,nafta,us,sectors,voter registration project,voter registration,us hispanic,southwest voter registration,southwest voter,said feared,registration project,raza,la raza,hispanic chamber commerce,hispanic chamber,sides border,said last week,agreement,side agreements,organisations
9,label,north american trade agreement,stringent side agreements,worker rights,hispanic community,negative impact,trilateral north american development bank,nafta,key hispanic groups,,,,,,,,,,,,
10,tfidf,second amendment,amendment,federal government,second,individuals,right individuals,protected right individuals,protected right,federally protected right,federally protected,cruikshank,federal,arms,federally,states,court,right,regarding,protected,militia
10,label,gun control laws,second amendment,federal government,constitutional law,security,arms,,,,,,,,,,,,,,
11,tfidf,hurricane,forecasting,models,satellites,satellite,hugo,forecasters,emmanuel,path,tracking,information,landfall,supercomputers,pyke,path hurricane,mcadie,information satellite,hugo would,emmanuel said,predict
11,label,hurricane hugo,hurricane hugo,destructive path,supercomputer predictions,satellite data,satellite pictures,hurricane forecasters,real forecasting problem,forecasting ability,south carolina coast,landfall,,,,,,,,,
12,tfidf,tunnel,french,froggy,london,british,billion,0,europe,rail,hour,societe,northern europe,may seen,ledge,froggy froggy,fast train,dewy,big figures,link,big
12,label,high-speed rail network,british rail,tunnel treaty,british terminal,boring machines,full benefits,british industry,dominant trading links,,,,,,,,,,,,
13,tfidf,hurricane,sheets,gilbert,pressure,said sheets,category,center,dealing,frank,hurricane center,feel lot,jorge,barometric pressure,barometric,media,director,major hurricane,winds,sheets said,interviews
13,label,hurricane gilbert,national hurricane center,barometric pressure,intense hurricane,western hemisphere,destructive gilbert,hurricane-force winds,category 5 hurricane,catastrophic damage,,,,,,,,,,,
14,tfidf,tuberculosis,tuberculosis morbidity,morbidity,latvia,tuberculosis cases,cases,would require infectious,undergo mandatory treatment,undergo mandatory,tuberculosis undergo mandatory,tuberculosis undergo,state tuberculosis,require infectious cases,require infectious,proposal cabinet ministers,proposal cabinet,pavlovska,number tuberculosis cases,number tuberculosis,mandatory treatment
14,label,tuberculosis cases,tuberculosis morbidity,mortality,mandatory treatment,tuberculosis hospitals,,,,,,,,,,,,,,,
15,tfidf,taylor,miss taylor,miss,pneumonia,ventilator,doctors,breathing,hospital,condition,actress,patient ventilator,stabilizing,seriously ill,mohler,breathing assisted ventilator,breathing assisted,assisted ventilator,pleased progress,late monday,butterfield
15,label,elizabeth taylor,miss taylor,58-year-old actress,lung biopsy,st. john's hospital,sinus infection,health problems,pneumonia,,,,,,,,,,,,
16,tfidf,tunnel,fagg,cozette,french,channel,workers,british,chalk,train,hands,rifkind,handshake,delebarre,france,rode,tunnelers,sangatte,french workers,cross channel,british french
16,label,english channel,channel tunnel,brilliant sign,engineering project,high-speed train,continental europe,rail tunnels,6-foot-tall service tunnel,symbolic milestone,,,,,,,,,,,
17,tfidf,marathon,tours,running,vacation,marathons,sightseeing,marathon tours,run,box,unique,entry,sports,london,race,trip,runs,runner,walkdon,tours international,sports tours international
17,label,marathon vacations,marathon tours,running vacation,restricted entry races,,,,,,,,,,,,,,,,
18,tfidf,fujita,tornadoes,microbursts,fujita said,tornado,right next,downbursts,versions,suction,likely spawn,radar system,drafts,spawn,fan,storms,twisters,creates,right,radar,studying
18,label,tornadoes,natural tornado,fujita,violent storms,thunderstorms,small twisters,scientists,,,,,,,,,,,,,
19,tfidf,seniority,limits,term limits,term,seniority system,executive term limits,executive term,executive,electorate,would,experience,incumbents,22nd amendment,amendment,voters,system,22nd,desire,election,legislative term limits
19,label,legislative term limits,executive term limits,citizen congress,officeholders,re-election rate,political process,constitutional amendment,civil rights amendment,political representative,electoral control process,,,,,,,,,,
20,tfidf,pounds,hurricane,losses,lloyd,insurance,insurers,uk,gulf,reinsurance,gulf mexico,florida,andrew,underwriters,uk insurers,losses pounds,faced pounds,damage claims,us,mr,royal
20,label,hurricane andrew,southern florida,new orleans,severe property damage,damage claims,insurance industry losses,florida,,,,,,,,,,,,,
21,tfidf,mr,andrew,mr bush,bush,fema,president,baker,florida,stickney,relief,clinton,mr baker,around dollars,political,card,brief,yesterday,devastated,hurricane andrew,mr clinton
21,label,hurricane andrew,florida,louisiana,president george bush,election campaign,emergency relief,disaster,,,,,,,,,,,,,
22,tfidf,would,legislature,elected,term,proposition,think,term limits,state,legislatures,legislators,limits,legislative,special interests,people,interests,well,things,statewide,monrovia,years
22,label,term limits,term limitations,california,statewide officeholders,state legislators,consecutive four-year terms,professional occupation,political process,special interests,negative impact,political change,,,,,,,,,
23,tfidf,saudi,111,crash,aircraft,said 111 crashed,said 111,marines,eight marines,111 crashed,jet,air force,wing,killing crew members,killing crew,air,shield,saudi arabia,operation desert shield,operation desert,desert shield
23,label,crash,u.s. air force f-111 fighter-bomber,saudi arabia,crew members,f-model,operation desert shield,,,,,,,,,,,,,,
24,tfidf,shining path,shining,central committee,path,guzman,people war,war,feliciano,plenum,meeting,committee,gonzalo,central,presided,abimael guzman,abimael,black group,party,uphold,reinoso
24,label,shining path central committee,shining path congress,people's war,peace accord,arrested leaders,shining path meeting,five-point document,abimael guzman reinoso,revolutionary violence,black group,,,,,,,,,,
25,tfidf,la garza,de la garza,garza,de la,forest,la garza said,garza said,la,de,hearings,forest service,yellowstone,service,fires,summer,national park,summer fires,forest service said,committee,agriculture
25,label,house agriculture committee,u.s. forest service,stubborn wildfires,yellowstone national park,forest fire practices,joint hearings,fire fighting policies,summer fires,,,,,,,,,,,,
26,tfidf,thomas,grandparents,black,court,washington,read,raised survive,heritage foundation,discrimination complaints,segregation,heritage,black power,went,washington post,conception,sufficiency,self sufficiency,self,hostile,foundation
26,label,clarence thomas,grandparents,hard work,discipline,u.s. supreme court,black power,,,,,,,,,,,,,,
27,tfidf,tornado,tornadoes,texas,mcintyre,april june,storm,windows,equalize air pressure,equalize air,equalize,people,weather,outrun,mcdonald,air pressure,shelter,cover,weather conditions,house,april
27,label,tornado season,spring thunderstorms,tornadoes,texas,property damage,tornado warning,tornado watches,disaster research,,,,,,,,,,,,
28,tfidf,shining path,shining,path,guerrillas,sendero,slums,lima,guzman,andean,andes,rebel,shantytowns,peru,movement,unions,huaycan,sendero luminoso,rebel movement,luminoso,zone
28,label,shining path guerrillas,shantytowns,rebel movement,political force,huaycan,political violence,public support,central highway,,,,,,,,,,,,
29,tfidf,diamond,russian,de beers,beers,diamantaire,russia,diamonds,mr oppenheimer,de,oppenheimer,diamond industry,cso,rosalmazzoloto,industry,moscow,suggest,mr,contract,london,soviet union
29,label,harry oppenheimer,south africa,beleaguered diamond industry,unofficial exports,russian diamond industry,london-based central selling organisation,yakut government,rough diamonds,russian diamonds,exclusive sales agreement,de beers,state diamond centre,russian federation,,,,,,,
30,tfidf,caribbean,us,caribbean basin,parity,basin,nafta,caribbean basin countries,basin countries,region,us canada,exports,mexico,countries,benefits,mr,markets,region exports,carrington,access us,canada
30,label,north american free trade agreement,central american,caribbean basin countries,competitive mexico,possible diversion,nafta market,economic dislocation,president bill clinton,parity proposals,,,,,,,,,,,
31,tfidf,boston,ikangaa,marathon,champion,race,medalist,olympic,21,third,winner,silver medalist,pippig,olympic silver medalist,olympic silver,naali,checkpoint records,bordin,africans,06 boston,wakiihuri
31,label,60th boston marathon,boston marathons,checkpoint records,alarming rate,respectable entrants,race run,storied history,,,,,,,,,,,,,
32,tfidf,fire,fires,malibu,oregon,mcgrew,fire corridor,corridor,freeze,canyons,threat,area,replace,fire officials,corps,worst,youth,vegetation,wildfires,california,equipment
32,label,firefighting,wildfires,california,firefighters,brush fires,aggressive approach,preventive measures,fire threat,severe fires spreads,fire season,natural fire corridor,,,,,,,,,
33,tfidf,shining path,shining,path,lima,garcia,raids,palace,government palace,peru,garcia said,urban,insurgency,violence,electoral,wednesday,weekend raids,electoral workers,coastal cities,cathedral,22 million
33,label,shining path rebels,rebel attacks,defense revolutionary movement,presidential runoff,coastal urban areas,powerful car bombs,lima,president alan garcia,political violence,indigenous peoples,shining path leader abimael guzman,,,,,,,,,
34,tfidf,lewis,johnson,lewis said,drugs,francis,said,world,track,track field,athletes,record,thing,francis testimony,testimony,drug,world record,field,steroid,sport,ben
34,label,ben johnson,carl lewis,performance-enhancing drugs,seoul olympics,drug test,anabolic steroid stanozolol,drug use,steroid furazabol,world record-holder,,,,,,,,,,,
35,tfidf,race,marathon,yanmin,wilson,konatz,gural,runners,lead,pack,waited,miles,third,pace,finish,throughout race,patience,pacific rim,old record,obwocha,men race
35,label,long beach marathon,patience,winners,rex wilson,wen yanmin,course record,race,,,,,,,,,,,,,
36,tfidf,term limits,limits,ferris,voters,term,lawmakers,mr ferris,fenno,system,committees,politicians,election,committee,mr,lobbyists,incumbents,congress,average citizens,average,would
36,label,term limits,electoral system,house incumbents,special-interest lobbyists,congressional elections,average re-election margin,average victory margin,washington politicians,limiting committee assignments,,,,,,,,,,,
37,tfidf,taylor,biopsy,mohler,pneumonia,ventilator,hospital,actress,mohler said,doctors,statement,physicians,said,del,condition,sutton,said taylor,placing ventilator,favero,del favero,condition hospital
37,label,elizabeth taylor,ventilator,surgery,pneumonia,st. john's hospital,health problems,serious condition,actress,,,,,,,,,,,,
38,tfidf,bn,hurricane,losses,dollars bn,dollars,hurricane andrew,claims,andrew,insured,catastrophe,insurance,florida,insurers,property casualty,industry,casualty,property,property casualty insurers,catastrophe losses,casualty insurers
38,label,hurricane andrew,property-casualty industry,insurance claims,property claims,insurance industry,insured losses,florida losses,,,,,,,,,,,,,
39,tfidf,taylor,miss taylor,weintraub,miss,aids,actress,weintraub said,st johns,balcony attire,balcony,attire,johns,hospital,bout pneumonia,bout,woods,pneumonia,wave,said,specialist
39,label,elizabeth taylor,near-fatal bout,pneumonia,miss taylor,st. johns hospital,58-year-old actress,,,,,,,,,,,,,,
40,tfidf,87,third world,world exposure,third world exposure,30 87,exposure,common equity,bank boston,third,equity assets,common equity assets,bank,assets,equity,reserve,world,boston,banks,common,30
40,label,third world loans,loan-loss reserves,boston corp,regional banks,developing countries,money-center banks,u.s. banks,,,,,,,,,,,,,
41,tfidf,oil,exxon,spill,cleanup,valdez,sludge,bane said,bane,coastline,miles,plan,alaska,yost,lightly oiled,scheduled,polluted,bears,park,oiled,fouled
41,label,oil spill,alaskan coastline,exxon tanker,oil-tainted shores,polluted areas,valdez spill,crude oil prices,exxon officials,cleanup plan,oiled coastline,,,,,,,,,,
42,tfidf,mahgoub,el mahgoub,egyptian,el,funeral,iraqi,abu,military,security men,mubarak,extremists,egypt,al ahram,ahram,procession,nidal,cairo,abu nidal,speaker,al
42,label,iraqi agents,egyptian moslem fundamentalists,assassination,rifaat el-mahgoub,islamic extremists,death toll,terrorist activities,egyptian politician,funeral,,,,,,,,,,,
43,tfidf,kelley,mr kelley,boston,mr,marathon,boston marathon,runners,race,run,finish,says,ran,runner,recalls,course,oldest,age,running,hours,recalls ran
43,label,60th boston marathon,training,mr. kelley,john kelley,runners,two-time winner,oldest competitor,,,,,,,,,,,,,
44,tfidf,congress,term limitation,recognize,limitation,term,individuals,opinion everything sun,opinion everything,opinion,everything sun,prospect,congress would,exists,common sense,productive,influence,passing,politicians,limits,sun
44,label,term limits,congressional term limitation,legislative influence,six-year limits,term-limit initiatives,congressional delegations,true citizen congress,power-lusting professional politicians,impervious congress,corrupting influence,,,,,,,,,,
45,tfidf,hurricane,joan,gross,colombia,mph,storm,caribbean,winds,strength,coast,town,forecasters,san andres,said gross,missing town,issued hurricane watch,issued hurricane,gross said,dead missing town,dead missing
45,label,hurricane joan,open caribbean,hurricane watch,colombia,panama,atlantic hurricane season,tropical storms,hurricane force,,,,,,,,,,,,
46,tfidf,militia,arms,bear arms,bear,gun,right,amendment,well regulated militia,well regulated,version,regulated militia,standing army,militia composed body,militia composed,composed body people,composed body,body people,regulated,standing,shall
46,label,gun control,constitutional amendment,gun owners,second amendment,congress,private right,arms,,,,,,,,,,,,,
47,tfidf,census,illegal,count,aliens,senate,illegal aliens,pulido,said,santa ana,ana,bureau,census bureau,immigration,senate action,california,seats,santa,mcdonough,city,population
